tenta = 0     247 50 4 1 4 8 8 10 |0| 78.2% | poid actuel :400.4  | max :512.0 | SN/ECHEC
tenta = 0     295 50 4 1 10 10 10 10 |0| 89.84% | poid actuel :460.0  | max :512.0 SN/ECHE
tenta = 0     295 49 4 1 10 10 10 10 |0| 91.41% | poid actuel :468.0  | max :512.0 SC
#déjà noter
 tenta = 1     296 48 4 1 10 10 10 10 |tenta_po =1 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 
tenta = 24     297 48 4 1 7 8 8 9 |tenta_po =41 |0| 81.13% | poid actuel :415.4  | max :512.0 | SN/ECHEC 
tenta = 25     294 48 0 1 9 9 9 10 |tenta_po =42 |0| 78.28% | poid actuel :400.8  | max :512.0 | SN/ECHEC 
tenta = 28     295 47 4 1 8 9 9 10 |tenta_po =43 |0| 84.77% | poid actuel :434.0  | max :512.0 |SC 
tenta = 30     107 48 4 1 9 2 9 10 |tenta_po =44 |0| 71.95% | poid actuel :368.4  | max :512.0 |SC 
tenta = 30     298 46 4 1 8 6 7 10 |tenta_po =45 |0| 79.61% | poid actuel :407.6  | max :512.0 | SN/ECHEC 

 tenta = 1     297 47 4 1 6 7 8 10 |tenta_po =1 |0| 79.96% | poid actuel :409.4  | max :512.0 |SC 

 tenta = 1     294 46 4 1 8 8 8 10 |tenta_po =2 |0| 82.38% | poid actuel :421.8  | max :512.0 | SN/ECHEC 

 tenta = 1     294 46 1 1 8 8 4 10 |tenta_po =3 |0| 72.62% | poid actuel :371.8  | max :512.0 | SN/ECHEC 

 tenta = 1     295 48 4 1 9 8 9 10 |tenta_po =4 |0| 85.16% | poid actuel :436.0  | max :512.0 | SN/ECHEC 

 tenta = 1     296 50 4 1 10 10 10 10 |tenta_po =5 |0| 89.88% | poid actuel :460.2  | max :512.0 | SN/ECHEC 

 tenta = 1     297 48 4 1 9 9 9 10 |tenta_po =6 |0| 86.21% | poid actuel :441.4  | max :512.0 | SN/ECHEC 

 tenta = 1     297 48 4 1 9 9 8 10 |tenta_po =7 |0| 85.23% | poid actuel :436.4  | max :512.0 |SC 
tenta = 2     299 48 4 1 10 10 10 10 |tenta_po =8 |0| 89.22% | poid actuel :456.8  | max :512.0 | SN/ECHEC 
tenta = 2     299 48 4 1 10 5 7 9 |tenta_po =9 |0| 80.23% | poid actuel :410.8  | max :512.0 |SC 
tenta = 2     299 48 4 1 10 10 10 10 |tenta_po =10 |0| 89.22% | poid actuel :456.8  | max :512.0 | SN/ECHEC 
tenta = 2     300 49 4 1 10 10 10 10 |tenta_po =11 |0| 90.62% | poid actuel :464.0  | max :512.0 |SC 
tenta = 2     261 48 3 1 8 8 7 8 |tenta_po =12 |0| 76.6% | poid actuel :392.2  | max :512.0 | SN/ECHEC 
tenta = 2     250 47 4 1 7 8 7 7 |tenta_po =13 |0| 75.59% | poid actuel :387.0  | max :512.0 | SN/ECHEC 
tenta = 2     283 48 4 1 8 6 8 6 |tenta_po =14 |0| 76.09% | poid actuel :389.6  | max :512.0 | SN/ECHEC 
tenta = 2     277 47 4 1 5 8 6 8 |tenta_po =15 |0| 74.88% | poid actuel :383.4  | max :512.0 |SC 
tenta = 4     277 50 4 1 7 7 8 7 |tenta_po =16 |0| 77.81% | poid actuel :398.4  | max :512.0 | SN/ECHEC 
tenta = 5     294 39 4 1 8 9 9 6 |tenta_po =17 |0| 76.91% | poid actuel :393.8  | max :512.0 | SN/ECHEC 
tenta = 5     291 40 4 1 8 8 0 7 |tenta_po =18 |0| 68.59% | poid actuel :351.2  | max :512.0 |SC 
tenta = 5     295 46 4 1 6 8 8 9 |tenta_po =19 |0| 79.3% | poid actuel :406.0  | max :512.0 | SN/ECHEC 
tenta = 5     298 48 4 1 8 8 9 10 |tenta_po =20 |0| 84.3% | poid actuel :431.6  | max :512.0 | SN/ECHEC 
tenta = 5     294 47 4 1 8 8 7 10 |tenta_po =21 |0| 81.8% | poid actuel :418.8  | max :512.0 | SN/ECHEC 
tenta = 6     297 46 1 1 3 9 7 10 |tenta_po =22 |0| 71.76% | poid actuel :367.4  | max :512.0 |SC 
tenta = 6     297 48 4 1 6 9 7 10 |tenta_po =23 |0| 81.33% | poid actuel :416.4  | max :512.0 | SN/ECHEC 
tenta = 7     298 47 1 1 9 3 7 10 |tenta_po =24 |0| 72.19% | poid actuel :369.6  | max :512.0 | SN/ECHEC 
tenta = 7     277 47 3 1 6 3 8 9 |tenta_po =25 |0| 72.15% | poid actuel :369.4  | max :512.0 | SN/ECHEC 
tenta = 7     253 40 3 1 4 8 8 7 |tenta_po =26 |0| 69.06% | poid actuel :353.6  | max :512.0 | SN/ECHEC 
tenta = 7     231 40 2 1 3 8 8 7 |tenta_po =27 |0| 65.27% | poid actuel :334.2  | max :512.0 |SC 
tenta = 7     0 48 3 1 6 7 7 7 |tenta_po =28 |0| 62.3% | poid actuel :319.0  | max :512.0 | SN/ECHEC 
tenta = 7     283 49 3 1 8 8 7 7 |tenta_po =29 |0| 76.68% | poid actuel :392.6  | max :512.0 |SC 
tenta = 8     283 47 4 1 8 7 7 8 |tenta_po =30 |0| 78.05% | poid actuel :399.6  | max :512.0 | SN/ECHEC 
tenta = 8     298 47 4 1 7 6 7 8 |tenta_po =31 |0| 76.68% | poid actuel :392.6  | max :512.0 | SN/ECHEC 
tenta = 8     298 47 4 1 8 8 8 10 |tenta_po =32 |0| 82.93% | poid actuel :424.6  | max :512.0 | SN/ECHEC 
tenta = 8     298 47 4 1 7 8 8 10 |tenta_po =33 |0| 81.95% | poid actuel :419.6  | max :512.0 | SN/ECHEC 
tenta = 8     295 47 4 1 7 8 6 7 |tenta_po =34 |0| 76.37% | poid actuel :391.0  | max :512.0 | SN/ECHEC 
tenta = 8     295 47 4 1 8 9 8 10 |tenta_po =35 |0| 83.79% | poid actuel :429.0  | max :512.0 | SN/ECHEC 
